sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS19012-5562STDY7801842,WA-1107,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19014-5562STDY7801843,WA-1109,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19015-5562STDY7801844,WA-1110,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19017-5562STDY7801845,WA-1112,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19018-5562STDY7801846,WA-1113,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19019-5562STDY7801847,WA-1114,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19020-5562STDY7801848,WA-1115,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19021-5562STDY7801849,WA-1116,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19022-5562STDY7801850,WA-1117,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19023-5562STDY7801851,WA-1118,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19024-5562STDY7801852,WA-1119,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19025-5562STDY7801853,WA-1120,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19026-5562STDY7801854,WA-1121,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19027-5562STDY7801855,WA-1122,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19028-5562STDY7801856,WA-1123,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19029-5562STDY7801857,WA-1124,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19030-5562STDY7801858,WA-1125,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19031-5562STDY7801859,WA-1126,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19033-5562STDY7801861,WA-1128,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19034-5562STDY7801864,WA-1129,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19035-5562STDY7801865,WA-1130,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19037-5562STDY7801867,WA-1132,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19038-5562STDY7801868,WA-1133,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19039-5562STDY7801869,WA-1134,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19041-5562STDY7801870,WA-1136,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19042-5562STDY7801871,WA-1137,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19043-5562STDY7801872,WA-1138,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19044-5562STDY7801873,WA-1139,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19045-5562STDY7801874,WA-1140,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19046-5562STDY7801875,WA-1141,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19047-5562STDY7801876,WA-1142,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19048-5562STDY7801877,WA-1143,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19049-5562STDY7801878,WA-1144,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS19050-5562STDY7801879,WA-1145,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
