midpoint	G12
44568.0	0.07799586776859505
76536.5	0.0743801652892562
109146.0	0.026601239669421482
129698.5	0.02324380165289256
147832.0	0.02169421487603306
163446.5	0.017045454545454544
176838.5	0.01730371900826446
191900.0	0.018078512396694214
210438.5	0.01859504132231405
226032.0	0.014979338842975204
241927.5	0.014979338842975204
252435.0	0.014462809917355372
261569.5	0.014721074380165289
269019.0	0.014979338842975204
277210.0	0.01627066115702479
286209.5	0.016787190082644624
301087.5	0.014721074380165289
314396.5	0.014721074380165289
323821.5	0.014721074380165289
333917.0	0.014204545454545454
346359.0	0.014204545454545454
354734.0	0.013946280991735536
364618.0	0.013946280991735536
373408.5	0.013946280991735536
383848.5	0.014462809917355372
396362.0	0.01730371900826446
404112.5	0.015754132231404958
410137.0	0.013946280991735536
418359.0	0.014204545454545454
426917.0	0.014721074380165289
433118.5	0.014979338842975204
441991.0	0.014979338842975204
448169.0	0.014204545454545454
456149.0	0.014462809917355372
463386.0	0.013946280991735536
471896.5	0.013946280991735536
478981.5	0.013946280991735536
485587.5	0.013946280991735536
491489.5	0.013946280991735536
496833.0	0.013946280991735536
501892.0	0.014204545454545454
507957.5	0.014204545454545454
514031.5	0.014204545454545454
520553.0	0.013946280991735536
526449.0	0.013946280991735536
536347.5	0.013946280991735536
545091.5	0.013946280991735536
553264.5	0.013946280991735536
559838.5	0.014204545454545454
565105.5	0.013946280991735536
570369.0	0.014462809917355372
576050.5	0.014204545454545454
582555.5	0.014204545454545454
588356.5	0.014204545454545454
595459.5	0.013946280991735536
601420.5	0.013946280991735536
609662.0	0.013946280991735536
619308.5	0.014204545454545454
626290.5	0.013946280991735536
631886.5	0.013946280991735536
638097.5	0.013946280991735536
642758.0	0.013946280991735536
647887.5	0.013946280991735536
656525.5	0.013946280991735536
662826.0	0.013946280991735536
671374.5	0.013946280991735536
677264.0	0.013946280991735536
683168.0	0.013946280991735536
688796.5	0.014204545454545454
693835.0	0.014462809917355372
700187.5	0.013946280991735536
707994.5	0.013946280991735536
714405.5	0.014204545454545454
720112.0	0.014462809917355372
725612.5	0.013946280991735536
732100.0	0.013946280991735536
739059.0	0.013946280991735536
746146.0	0.014204545454545454
754464.5	0.014204545454545454
760539.0	0.014462809917355372
766621.5	0.013946280991735536
771671.5	0.013946280991735536
776870.5	0.013946280991735536
784761.5	0.014462809917355372
792794.0	0.013946280991735536
800811.5	0.014204545454545454
810506.0	0.014204545454545454
816845.5	0.014462809917355372
822399.5	0.014204545454545454
827237.0	0.014204545454545454
833403.0	0.014462809917355372
840230.0	0.014462809917355372
846052.5	0.013946280991735536
852096.5	0.013946280991735536
857241.5	0.013946280991735536
864186.0	0.014204545454545454
870765.0	0.013946280991735536
877586.0	0.014204545454545454
885588.5	0.013946280991735536
892714.5	0.013946280991735536
898712.0	0.013946280991735536
905856.5	0.013946280991735536
913854.5	0.013946280991735536
921918.5	0.014462809917355372
929336.5	0.014204545454545454
938124.0	0.013946280991735536
944759.5	0.013946280991735536
956425.5	0.013946280991735536
965238.0	0.013946280991735536
974295.0	0.013946280991735536
983903.5	0.013946280991735536
993117.0	0.013946280991735536
