sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS19127-5563STDY7800211,WA-0077,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19129-5563STDY7800213,WA-0079,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19131-5563STDY7800215,WA-0081,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19132-5563STDY7800216,WA-0082,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19133-5563STDY7800217,WA-0083,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19134-5563STDY7800218,WA-0084,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19135-5563STDY7800219,WA-0085,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19136-5563STDY7800220,WA-0086,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19137-5563STDY7800221,WA-0087,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19138-5563STDY7800222,WA-0088,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19139-5563STDY7800223,WA-0089,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19140-5563STDY7800224,WA-0090,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19141-5563STDY7800225,WA-0091,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19142-5563STDY7800226,WA-0092,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19143-5563STDY7800227,WA-0093,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19144-5563STDY7800228,WA-0094,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19145-5563STDY7800229,WA-0095,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19149-5563STDY7800235,WA-0099,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19150-5563STDY7800236,WA-0100,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19152-5563STDY7800238,WA-0102,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19154-5563STDY7800240,WA-0104,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19155-5563STDY7800241,WA-0105,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19156-5563STDY7800242,WA-0106,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19157-5563STDY7800243,WA-0107,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19158-5563STDY7800244,WA-0108,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19159-5563STDY7800245,WA-0109,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19160-5563STDY7800246,WA-0110,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19161-5563STDY7800247,WA-0111,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19162-5563STDY7800248,WA-0112,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19164-5563STDY7800250,WA-0114,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19165-5563STDY7800251,WA-0115,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19167-5563STDY7800253,WA-0117,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19168-5563STDY7800254,WA-0118,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19170-5563STDY7800256,WA-0120,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19173-5563STDY7800259,WA-0123,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19174-5563STDY7800260,WA-0124,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19175-5563STDY7800261,WA-0125,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19176-5563STDY7800262,WA-0126,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19177-5563STDY7800263,WA-0127,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19178-5563STDY7800264,WA-0128,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19179-5563STDY7800265,WA-0129,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19180-5563STDY7800266,WA-0130,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19181-5563STDY7800267,WA-0131,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19182-5563STDY7800268,WA-0132,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19183-5563STDY7800269,WA-0133,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19184-5563STDY7800270,WA-0134,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19185-5563STDY7800271,WA-0135,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
