sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS19176-5563STDY7800262,0.073,0.002,gamb_colu,gambiae
VBS19177-5563STDY7800263,0.036,0.002,gamb_colu,gambiae
VBS19178-5563STDY7800264,0.059,0.002,gamb_colu,gambiae
VBS19179-5563STDY7800265,0.028,0.002,gamb_colu,gambiae
VBS19180-5563STDY7800266,0.056,0.002,gamb_colu,gambiae
VBS19181-5563STDY7800267,0.036,0.002,gamb_colu,gambiae
VBS19182-5563STDY7800268,0.023,0.002,gamb_colu,gambiae
VBS19183-5563STDY7800269,0.043,0.002,gamb_colu,gambiae
VBS19184-5563STDY7800270,0.018,0.002,gamb_colu,gambiae
VBS19185-5563STDY7800271,0.025,0.002,gamb_colu,gambiae
VBS19186-5563STDY7800272,0.059,0.002,gamb_colu,gambiae
VBS19187-5563STDY7800273,0.028,0.002,gamb_colu,gambiae
VBS19188-5563STDY7800274,0.056,0.002,gamb_colu,gambiae
VBS19190-5563STDY7800276,0.054,0.002,gamb_colu,gambiae
VBS19191-5563STDY7800277,0.053,0.002,gamb_colu,gambiae
VBS19192-5563STDY7800278,0.017,0.002,gamb_colu,gambiae
VBS19193-5563STDY7800279,0.023,0.002,gamb_colu,gambiae
VBS19194-5563STDY7800280,0.029,0.002,gamb_colu,gambiae
VBS19196-5563STDY7800282,0.056,0.002,gamb_colu,gambiae
VBS19197-5563STDY7800283,0.060,0.003,gamb_colu,gambiae
VBS19198-5563STDY7800284,0.029,0.002,gamb_colu,gambiae
VBS19199-5563STDY7800285,0.055,0.002,gamb_colu,gambiae
VBS19200-5563STDY7800286,0.029,0.002,gamb_colu,gambiae
VBS19201-5563STDY7800287,0.060,0.002,gamb_colu,gambiae
VBS19202-5563STDY7800288,0.025,0.002,gamb_colu,gambiae
VBS19203-5563STDY7800289,0.061,0.003,gamb_colu,gambiae
VBS19204-5563STDY7800290,0.022,0.002,gamb_colu,gambiae
VBS19205-5563STDY7800291,0.021,0.002,gamb_colu,gambiae
VBS19206-5563STDY7800292,0.025,0.002,gamb_colu,gambiae
VBS19207-5563STDY7800293,0.028,0.002,gamb_colu,gambiae
VBS19208-5563STDY7800294,0.090,0.002,gamb_colu,gambiae
VBS19209-5563STDY7800295,0.067,0.002,gamb_colu,gambiae
VBS19210-5563STDY7800296,0.035,0.002,gamb_colu,gambiae
VBS19212-5563STDY7800298,0.086,0.002,gamb_colu,gambiae
VBS19214-5563STDY7800300,0.032,0.002,gamb_colu,gambiae
VBS19215-5563STDY7800301,0.057,0.002,gamb_colu,gambiae
VBS19216-5563STDY7800302,0.040,0.002,gamb_colu,gambiae
VBS19217-5563STDY7800303,0.021,0.002,gamb_colu,gambiae
VBS19218-5563STDY7800304,0.025,0.003,gamb_colu,gambiae
VBS19219-5563STDY7800305,0.025,0.002,gamb_colu,gambiae
VBS19221-5563STDY7800307,0.036,0.002,gamb_colu,gambiae
VBS19224-5563STDY7800310,0.025,0.002,gamb_colu,gambiae
VBS19225-5563STDY7800311,0.023,0.002,gamb_colu,gambiae
VBS19226-5563STDY7800312,0.021,0.002,gamb_colu,gambiae
VBS19229-5563STDY7800315,0.028,0.002,gamb_colu,gambiae
VBS19236-5563STDY7800322,0.029,0.002,gamb_colu,gambiae
VBS19237-5563STDY7800323,0.029,0.002,gamb_colu,gambiae
VBS19245-5563STDY7800333,0.032,0.002,gamb_colu,gambiae
VBS19246-5563STDY7800334,0.035,0.002,gamb_colu,gambiae
VBS19249-5563STDY7800337,0.029,0.002,gamb_colu,gambiae
VBS19250-5563STDY7800338,0.022,0.002,gamb_colu,gambiae
VBS19253-5563STDY7800341,0.023,0.002,gamb_colu,gambiae
