sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	sample.accession	run.accession
WA-0054	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	6	TRUE	ERS3041325	ERR3289888,ERR3289924,ERR3289960
WA-0055	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041326	ERR3282805,ERR3282841,ERR3282877
WA-0056	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041327	ERR3282689,ERR3282725,ERR3282761
WA-0057	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041328	ERR3311702,ERR3311738,ERR3311774
WA-0060	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041331	ERR3289755,ERR3289791,ERR3289827
WA-0061	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041332	ERR3311517,ERR3311553,ERR3311589
WA-0062	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041333	ERR3290214,ERR3290250,ERR3311437
WA-0064	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041335	ERR3282210,ERR3282246,ERR3282282
WA-0066	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041337	ERR3269917,ERR3269953,ERR3311915
WA-0071	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041342	ERR3282202,ERR3282238,ERR3282274
WA-0073	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041344	ERR3311731,ERR3311767,ERR3311803
WA-0074	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041345	ERR3282681,ERR3282717,ERR3282753
WA-0075	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041346	ERR3282301,ERR3282337,ERR3282373
WA-0076	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041347	ERR3290287,ERR3290323,ERR3311474
WA-0077	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041348	ERR3270121,ERR3270157,ERR3270301
WA-0079	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041350	ERR3290196,ERR3290232,ERR3311419
WA-0081	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041352	ERR3282789,ERR3282825,ERR3282861
WA-0082	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041353	ERR3282307,ERR3282343,ERR3282379
WA-0083	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	7	FALSE	ERS3041354	ERR3259385,ERR3259421,ERR3259457
WA-0084	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041355	ERR3311620,ERR3311656,ERR3311692
WA-0085	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041356	ERR3289988,ERR3290024,ERR3290060
