SANGER PLATE ID	WELL	SANGER SAMPLE ID	SUPPLIER SAMPLE NAME
DN554822O	D3	5563STDY7800251	VBS19165
DN554822O	E3	5563STDY7800252	VBS19166
DN554822O	F3	5563STDY7800253	VBS19167
DN554822O	G3	5563STDY7800254	VBS19168
DN554822O	H3	5563STDY7800255	VBS19169
DN554822O	A4	5563STDY7800256	VBS19170
DN554822O	B4	5563STDY7800257	VBS19171
DN554822O	C4	5563STDY7800258	VBS19172
DN554822O	D4	5563STDY7800259	VBS19173
DN554822O	E4	5563STDY7800260	VBS19174
DN554822O	F4	5563STDY7800261	VBS19175
DN554822O	G4	5563STDY7800262	VBS19176
DN554822O	H4	5563STDY7800263	VBS19177
DN554822O	A5	5563STDY7800264	VBS19178
DN554822O	B5	5563STDY7800265	VBS19179
DN554822O	C5	5563STDY7800266	VBS19180
DN554822O	D5	5563STDY7800267	VBS19181
DN554822O	E5	5563STDY7800268	VBS19182
DN554822O	F5	5563STDY7800269	VBS19183
DN554822O	G5	5563STDY7800270	VBS19184
DN554822O	H5	5563STDY7800271	VBS19185
DN554822O	A6	5563STDY7800272	VBS19186
DN554822O	B6	5563STDY7800273	VBS19187
DN554822O	C6	5563STDY7800274	VBS19188
DN554822O	D6	5563STDY7800275	VBS19189
DN554822O	E6	5563STDY7800276	VBS19190
DN554822O	F6	5563STDY7800277	VBS19191
DN554822O	G6	5563STDY7800278	VBS19192
DN554822O	H6	5563STDY7800279	VBS19193
DN554822O	A7	5563STDY7800280	VBS19194
DN554822O	B7	5563STDY7800281	VBS19195
DN554822O	C7	5563STDY7800282	VBS19196
DN554822O	D7	5563STDY7800283	VBS19197
DN554822O	E7	5563STDY7800284	VBS19198
DN554822O	F7	5563STDY7800285	VBS19199
DN554822O	G7	5563STDY7800286	VBS19200
DN554822O	H7	5563STDY7800287	VBS19201
DN554822O	A8	5563STDY7800288	VBS19202
DN554822O	B8	5563STDY7800289	VBS19203
DN554822O	C8	5563STDY7800290	VBS19204
DN554822O	D8	5563STDY7800291	VBS19205
DN554822O	E8	5563STDY7800292	VBS19206
DN554822O	F8	5563STDY7800293	VBS19207
DN554822O	G8	5563STDY7800294	VBS19208
DN554822O	H8	5563STDY7800295	VBS19209
DN554822O	A9	5563STDY7800296	VBS19210
DN554822O	B9	5563STDY7800297	VBS19211
DN554822O	C9	5563STDY7800298	VBS19212
DN554822O	D9	5563STDY7800299	VBS19213
DN554822O	E9	5563STDY7800300	VBS19214
DN554822O	F9	5563STDY7800301	VBS19215
DN554822O	G9	5563STDY7800302	VBS19216
DN554822O	H9	5563STDY7800303	VBS19217
DN554822O	A10	5563STDY7800304	VBS19218
DN554822O	B10	5563STDY7800305	VBS19219
DN554822O	C10	5563STDY7800306	VBS19220
DN554822O	D10	5563STDY7800307	VBS19221
DN554822O	E10	5563STDY7800308	VBS19222
DN554822O	F10	5563STDY7800309	VBS19223
DN554822O	G10	5563STDY7800310	VBS19224
DN554822O	H10	5563STDY7800311	VBS19225
DN554822O	A11	5563STDY7800312	VBS19226
DN554822O	B11	5563STDY7800313	VBS19227
DN554822O	C11	5563STDY7800314	VBS19228
DN554822O	D11	5563STDY7800315	VBS19229
DN554822O	E11	5563STDY7800316	VBS19230
DN554822O	F11	5563STDY7800317	VBS19231
DN554822O	G11	5563STDY7800318	VBS19232
DN554822O	H11	5563STDY7800319	VBS19233
DN554822O	A12	5563STDY7800320	VBS19234
DN554822O	B12	5563STDY7800321	VBS19235
DN554822O	C12	5563STDY7800322	VBS19236
DN554822O	D12	5563STDY7800323	VBS19237
DN554822O	E12	5563STDY7800324	VBS19238
DN554822O	F12	5563STDY7800325	VBS19239
DN554822O	G12	5563STDY7800326	
DN554822O	H12	5563STDY7800327	
DN554823P	A1	5563STDY7800328	VBS19240
DN554823P	B1	5563STDY7800329	VBS19241
DN554823P	C1	5563STDY7800330	VBS19242
DN554823P	D1	5563STDY7800331	VBS19243
DN554823P	E1	5563STDY7800332	VBS19244
DN554823P	F1	5563STDY7800333	VBS19245
DN554823P	G1	5563STDY7800334	VBS19246
DN554823P	H1	5563STDY7800335	VBS19247
DN554823P	A2	5563STDY7800336	VBS19248
DN554823P	B2	5563STDY7800337	VBS19249
DN554823P	C2	5563STDY7800338	VBS19250
DN554823P	D2	5563STDY7800339	VBS19251
DN554823P	E2	5563STDY7800340	VBS19252
DN554823P	F2	5563STDY7800341	VBS19253
DN554823P	G2	5563STDY7800342	VBS19254
DN554823P	H2	5563STDY7800343	VBS19255
DN554823P	A3	5563STDY7800344	VBS19256
DN554823P	B3	5563STDY7800345	VBS19257
DN554823P	C3	5563STDY7800346	VBS19258
DN554823P	D3	5563STDY7800347	VBS19259
DN554823P	E3	5563STDY7800348	VBS19260
DN554823P	F3	5563STDY7800349	VBS19261
DN554823P	G3	5563STDY7800350	VBS19262
DN554823P	H3	5563STDY7800351	VBS19263
DN554823P	A4	5563STDY7800352	VBS19264
DN554823P	B4	5563STDY7800353	VBS19265
DN554823P	C4	5563STDY7800354	VBS19266
DN554823P	D4	5563STDY7800355	VBS19267
DN554823P	E4	5563STDY7800356	VBS19268
DN554823P	F4	5563STDY7800357	VBS19269
DN554823P	G4	5563STDY7800358	VBS19270
DN554823P	H4	5563STDY7800359	VBS19271
