specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
WA-0082	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0083	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0084	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0085	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0086	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0087	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0088	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0089	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0090	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0091	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0092	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0093	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0094	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0095	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0096	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0097	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0098	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0099	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0100	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0101	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0102	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0103	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0104	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0105	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0106	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0107	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0108	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0109	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
