sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS20080-5568STDY7801349,WA-0389,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20081-5568STDY7801350,WA-0390,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20082-5568STDY7801351,WA-0391,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20083-5568STDY7801352,WA-0392,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20084-5568STDY7801353,WA-0393,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20085-5568STDY7801354,WA-0394,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20086-5568STDY7801355,WA-0395,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20087-5568STDY7801356,WA-0396,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20088-5568STDY7801357,WA-0397,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20089-5568STDY7801358,WA-0398,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20090-5568STDY7801359,WA-0399,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20091-5568STDY7801360,WA-0400,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20092-5568STDY7801361,WA-0401,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20093-5568STDY7801362,WA-0402,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20094-5568STDY7801363,WA-0403,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20095-5568STDY7801364,WA-0404,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20096-5568STDY7801365,WA-0405,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20097-5568STDY7801366,WA-0406,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20098-5568STDY7801367,WA-0407,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20099-5568STDY7801368,WA-0408,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20100-5568STDY7801369,WA-0409,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20101-5568STDY7801370,WA-0410,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20102-5568STDY7801371,WA-0411,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20103-5568STDY7801372,WA-0412,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20104-5568STDY7801373,WA-0413,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20106-5568STDY7801374,WA-0415,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20107-5568STDY7801375,WA-0416,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20108-5568STDY7801376,WA-0417,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20109-5568STDY7801377,WA-0418,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20110-5568STDY7801378,WA-0419,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20111-5568STDY7801379,WA-0420,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20112-5568STDY7801380,WA-0421,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20113-5568STDY7801381,WA-0422,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20115-5568STDY7801384,WA-0424,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20116-5568STDY7801385,WA-0425,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20117-5568STDY7801386,WA-0426,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20118-5568STDY7801387,WA-0427,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20119-5568STDY7801388,WA-0428,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20120-5568STDY7801389,WA-0429,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20121-5568STDY7801390,WA-0430,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20122-5568STDY7801391,WA-0431,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20123-5568STDY7801392,WA-0432,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20124-5568STDY7801393,WA-0433,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20125-5568STDY7801394,WA-0434,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20126-5568STDY7801395,WA-0435,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20127-5568STDY7801396,WA-0436,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20129-5568STDY7801397,WA-0438,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20132-5568STDY7801398,WA-0782,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
