sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS20113-5568STDY7801381,0.039,0.002,gamb_colu,gambiae
VBS20115-5568STDY7801384,0.044,0.002,gamb_colu,gambiae
VBS20116-5568STDY7801385,0.043,0.002,gamb_colu,gambiae
VBS20117-5568STDY7801386,0.021,0.003,gamb_colu,gambiae
VBS20118-5568STDY7801387,0.032,0.002,gamb_colu,gambiae
VBS20119-5568STDY7801388,0.034,0.002,gamb_colu,gambiae
VBS20120-5568STDY7801389,0.042,0.002,gamb_colu,gambiae
VBS20121-5568STDY7801390,0.031,0.003,gamb_colu,gambiae
VBS20122-5568STDY7801391,0.019,0.002,gamb_colu,gambiae
VBS20123-5568STDY7801392,0.036,0.002,gamb_colu,gambiae
VBS20124-5568STDY7801393,0.036,0.002,gamb_colu,gambiae
VBS20125-5568STDY7801394,0.028,0.003,gamb_colu,gambiae
VBS20126-5568STDY7801395,0.033,0.002,gamb_colu,gambiae
VBS20127-5568STDY7801396,0.033,0.003,gamb_colu,gambiae
VBS20129-5568STDY7801397,0.033,0.002,gamb_colu,gambiae
VBS20132-5568STDY7801398,0.027,0.003,gamb_colu,gambiae
VBS20133-5568STDY7801399,0.027,0.003,gamb_colu,gambiae
VBS20134-5568STDY7801400,0.040,0.002,gamb_colu,gambiae
VBS20135-5568STDY7801401,0.024,0.002,gamb_colu,gambiae
VBS20136-5568STDY7801402,0.034,0.002,gamb_colu,gambiae
VBS20139-5568STDY7801405,0.044,0.003,gamb_colu,gambiae
VBS20140-5568STDY7801406,0.037,0.002,gamb_colu,gambiae
VBS20141-5568STDY7801407,0.071,0.003,gamb_colu,gambiae
VBS20142-5568STDY7801408,0.074,0.002,gamb_colu,gambiae
VBS20145-5568STDY7801409,0.032,0.002,gamb_colu,gambiae
VBS20146-5568STDY7801410,0.032,0.002,gamb_colu,gambiae
VBS20147-5568STDY7801411,0.036,0.002,gamb_colu,gambiae
VBS20148-5568STDY7801412,0.033,0.002,gamb_colu,gambiae
VBS20149-5568STDY7801413,0.041,0.002,gamb_colu,gambiae
VBS20150-5568STDY7801414,0.021,0.002,gamb_colu,gambiae
VBS20151-5568STDY7801415,0.031,0.003,gamb_colu,gambiae
VBS20152-5568STDY7801416,0.040,0.002,gamb_colu,gambiae
VBS20153-5568STDY7801417,0.037,0.002,gamb_colu,gambiae
VBS20154-5568STDY7801418,0.044,0.002,gamb_colu,gambiae
VBS20156-5568STDY7801419,0.029,0.003,gamb_colu,gambiae
VBS20158-5568STDY7801421,0.036,0.002,gamb_colu,gambiae
VBS20159-5568STDY7801422,0.034,0.002,gamb_colu,gambiae
VBS20161-5568STDY7801424,0.024,0.002,gamb_colu,gambiae
VBS20162-5568STDY7801425,0.031,0.003,gamb_colu,gambiae
VBS20164-5568STDY7801427,0.036,0.002,gamb_colu,gambiae
VBS20165-5568STDY7801428,0.040,0.002,gamb_colu,gambiae
VBS20166-5568STDY7801429,0.032,0.003,gamb_colu,gambiae
VBS20167-5568STDY7801430,0.045,0.002,gamb_colu,gambiae
VBS20168-5568STDY7801431,0.031,0.003,gamb_colu,gambiae
VBS20169-5568STDY7801432,0.023,0.002,gamb_colu,gambiae
VBS20170-5568STDY7801433,0.021,0.002,gamb_colu,gambiae
VBS20171-5568STDY7801434,0.034,0.002,gamb_colu,gambiae
VBS20172-5568STDY7801435,0.020,0.002,gamb_colu,gambiae
VBS20173-5568STDY7801436,0.024,0.002,gamb_colu,gambiae
VBS20174-5568STDY7801437,0.020,0.002,gamb_colu,gambiae
VBS20175-5568STDY7801438,0.033,0.002,gamb_colu,gambiae
VBS20176-5568STDY7801439,0.029,0.002,gamb_colu,gambiae
VBS20179-5568STDY7801442,0.070,0.002,gamb_colu,gambiae
VBS20180-5568STDY7801443,0.039,0.002,gamb_colu,gambiae
VBS20181-5568STDY7801444,0.028,0.002,gamb_colu,gambiae
VBS20182-5568STDY7801445,0.078,0.002,gamb_colu,gambiae
VBS20183-5568STDY7801446,0.024,0.002,gamb_colu,gambiae
VBS20184-5568STDY7801447,0.037,0.002,gamb_colu,gambiae
VBS20188-5568STDY7801448,0.033,0.002,gamb_colu,gambiae
VBS20190-5568STDY7801449,0.014,0.002,gamb_colu,gambiae
VBS20192-5568STDY7801450,0.028,0.002,gamb_colu,gambiae
VBS20194-5568STDY7801451,0.037,0.002,gamb_colu,gambiae
VBS20195-5568STDY7801452,0.020,0.002,gamb_colu,gambiae
VBS20197-5568STDY7801453,0.030,0.002,gamb_colu,gambiae
VBS20198-5568STDY7801454,0.046,0.002,gamb_colu,gambiae
