sample.name	location	species	insecticide	sib.group.id	keep
WA-0348	Baguida	gambiae	Delta	48	FALSE
WA-0353	Baguida	gambiae	Delta	48	TRUE
WA-0357	Baguida	gambiae	Delta	49	FALSE
WA-0417	Baguida	gambiae	Delta	49	TRUE
WA-0366	Baguida	gambiae	Delta	50	TRUE
WA-0397	Baguida	gambiae	Delta	50	FALSE
WA-0371	Baguida	gambiae	Delta	51	TRUE
WA-0833	Baguida	gambiae	PM	51	TRUE
WA-0372	Baguida	gambiae	Delta	52	TRUE
WA-0851	Baguida	gambiae	PM	52	FALSE
WA-0854	Baguida	gambiae	PM	52	TRUE
WA-0378	Baguida	gambiae	Delta	53	TRUE
WA-0848	Baguida	gambiae	PM	53	TRUE
WA-0383	Baguida	gambiae	Delta	54	TRUE
WA-0816	Baguida	gambiae	PM	54	TRUE
WA-0384	Baguida	gambiae	Delta	55	TRUE
WA-0422	Baguida	gambiae	Delta	55	FALSE
WA-0424	Baguida	gambiae	Delta	55	FALSE
WA-0430	Baguida	gambiae	Delta	55	FALSE
WA-0400	Baguida	gambiae	Delta	56	TRUE
WA-0802	Baguida	gambiae	PM	56	TRUE
WA-0785	Baguida	gambiae	PM	57	TRUE
WA-0809	Baguida	gambiae	PM	57	FALSE
WA-0790	Baguida	gambiae	PM	58	TRUE
WA-0806	Baguida	gambiae	PM	58	FALSE
WA-0791	Baguida	gambiae	PM	59	FALSE
WA-0792	Baguida	gambiae	PM	59	TRUE
WA-0829	Baguida	gambiae	PM	60	FALSE
WA-0832	Baguida	gambiae	PM	60	FALSE
WA-0850	Baguida	gambiae	PM	60	TRUE
WA-0840	Baguida	gambiae	PM	61	TRUE
WA-0845	Baguida	gambiae	PM	61	FALSE
WA-0870	Baguida	gambiae	PM	61	FALSE
WA-0849	Baguida	gambiae	PM	62	TRUE
WA-0859	Baguida	gambiae	PM	62	FALSE
WA-0864	Baguida	gambiae	PM	63	TRUE
WA-0867	Baguida	gambiae	PM	63	FALSE
WA-0744	Aboisso	gambiae	PM	64	FALSE
WA-0760	Aboisso	gambiae	PM	64	TRUE
WA-0889	Korle-Bu	coluzzii	Delta	65	FALSE
WA-0980	Korle-Bu	coluzzii	Delta	65	TRUE
WA-1164	Korle-Bu	coluzzii	PM	65	TRUE
WA-1177	Korle-Bu	coluzzii	PM	65	FALSE
WA-0891	Korle-Bu	coluzzii	Delta	66	TRUE
WA-1172	Korle-Bu	coluzzii	PM	66	TRUE
WA-0893	Korle-Bu	coluzzii	Delta	67	TRUE
WA-1271	Korle-Bu	coluzzii	PM	67	TRUE
WA-0909	Korle-Bu	coluzzii	Delta	68	TRUE
WA-1262	Korle-Bu	coluzzii	PM	68	TRUE
WA-0910	Korle-Bu	coluzzii	Delta	69	TRUE
WA-0917	Korle-Bu	coluzzii	Delta	69	FALSE
WA-0911	Korle-Bu	coluzzii	Delta	70	FALSE
WA-0912	Korle-Bu	coluzzii	Delta	70	TRUE
WA-0920	Korle-Bu	coluzzii	Delta	71	TRUE
WA-1298	Korle-Bu	coluzzii	PM	71	FALSE
WA-1303	Korle-Bu	coluzzii	PM	71	FALSE
WA-1319	Korle-Bu	coluzzii	PM	71	TRUE
WA-0921	Korle-Bu	coluzzii	Delta	72	FALSE
WA-0944	Korle-Bu	coluzzii	Delta	72	TRUE
WA-1300	Korle-Bu	coluzzii	PM	72	TRUE
WA-0925	Korle-Bu	coluzzii	Delta	73	TRUE
WA-1210	Korle-Bu	coluzzii	PM	73	TRUE
WA-1213	Korle-Bu	coluzzii	PM	73	FALSE
WA-0927	Korle-Bu	coluzzii	Delta	74	FALSE
WA-1009	Korle-Bu	coluzzii	Delta	74	TRUE
WA-1317	Korle-Bu	coluzzii	PM	74	TRUE
WA-0935	Korle-Bu	coluzzii	Delta	75	TRUE
WA-1198	Korle-Bu	coluzzii	PM	75	FALSE
WA-1230	Korle-Bu	coluzzii	PM	75	TRUE
WA-0950	Korle-Bu	coluzzii	Delta	76	TRUE
WA-1196	Korle-Bu	coluzzii	PM	76	TRUE
WA-0963	Korle-Bu	coluzzii	Delta	77	TRUE
WA-1324	Korle-Bu	coluzzii	PM	77	TRUE
WA-0969	Korle-Bu	coluzzii	Delta	78	TRUE
WA-1334	Korle-Bu	coluzzii	PM	78	TRUE
WA-0993	Korle-Bu	coluzzii	Delta	79	TRUE
WA-1013	Korle-Bu	coluzzii	Delta	79	FALSE
WA-0997	Korle-Bu	coluzzii	Delta	80	TRUE
WA-1288	Korle-Bu	coluzzii	PM	80	FALSE
WA-1326	Korle-Bu	coluzzii	PM	80	TRUE
WA-0998	Korle-Bu	coluzzii	Delta	81	TRUE
WA-1278	Korle-Bu	coluzzii	PM	81	TRUE
WA-1001	Korle-Bu	coluzzii	Delta	82	TRUE
WA-1311	Korle-Bu	coluzzii	PM	82	TRUE
WA-1005	Korle-Bu	coluzzii	Delta	83	TRUE
WA-1308	Korle-Bu	coluzzii	PM	83	TRUE
WA-1014	Korle-Bu	coluzzii	Delta	84	FALSE
WA-1027	Korle-Bu	coluzzii	Delta	84	TRUE
WA-1149	Korle-Bu	coluzzii	PM	85	FALSE
WA-1159	Korle-Bu	coluzzii	PM	85	TRUE
WA-1176	Korle-Bu	coluzzii	PM	86	FALSE
WA-1182	Korle-Bu	coluzzii	PM	86	TRUE
WA-1191	Korle-Bu	coluzzii	PM	87	FALSE
WA-1200	Korle-Bu	coluzzii	PM	87	TRUE
WA-1237	Korle-Bu	coluzzii	PM	88	FALSE
WA-1293	Korle-Bu	coluzzii	PM	88	TRUE
WA-1264	Korle-Bu	coluzzii	PM	89	TRUE
WA-1280	Korle-Bu	coluzzii	PM	89	FALSE
WA-1285	Korle-Bu	coluzzii	PM	90	TRUE
WA-1296	Korle-Bu	coluzzii	PM	90	FALSE
WA-1045	Avrankou	coluzzii	Delta	91	TRUE
WA-1052	Avrankou	coluzzii	Delta	91	FALSE
WA-1049	Avrankou	coluzzii	Delta	92	FALSE
WA-1138	Avrankou	coluzzii	Delta	92	TRUE
WA-1053	Avrankou	coluzzii	Delta	93	FALSE
WA-1121	Avrankou	coluzzii	Delta	93	TRUE
WA-1059	Avrankou	coluzzii	Delta	94	TRUE
WA-1086	Avrankou	coluzzii	Delta	94	FALSE
WA-1060	Avrankou	coluzzii	Delta	95	TRUE
WA-1128	Avrankou	coluzzii	Delta	95	FALSE
WA-1068	Avrankou	coluzzii	Delta	96	FALSE
WA-1093	Avrankou	coluzzii	Delta	96	TRUE
WA-1080	Avrankou	coluzzii	Delta	97	TRUE
WA-1085	Avrankou	coluzzii	Delta	97	FALSE
WA-1082	Avrankou	coluzzii	Delta	98	TRUE
WA-1098	Avrankou	coluzzii	Delta	98	FALSE
WA-1089	Avrankou	coluzzii	Delta	99	FALSE
WA-1095	Avrankou	coluzzii	Delta	99	TRUE
WA-1099	Avrankou	coluzzii	Delta	100	TRUE
WA-1109	Avrankou	coluzzii	Delta	100	FALSE
