	sample_id	partner_sample_id	contributor	country	location	year	month	latitude	longitude	sex_call	species_gambiae_coluzzii	aim_fraction_colu	species	insecticide	concentration	exposure_time	phenotype	plate
32	VBS19097-5563STDY7800181	WA-0047	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.032	gambiae	Delta	1.0	60	dead	WGS_PL1
33	VBS19098-5563STDY7800182	WA-0048	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.019	gambiae	Delta	1.0	60	dead	WGS_PL1
34	VBS19100-5563STDY7800184	WA-0050	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.058	gambiae	Delta	1.0	60	dead	WGS_PL1
35	VBS19101-5563STDY7800185	WA-0051	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	1.0	60	dead	WGS_PL1
36	VBS19102-5563STDY7800186	WA-0052	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.026	gambiae	Delta	1.0	60	dead	WGS_PL1
37	VBS19103-5563STDY7800187	WA-0053	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.034	gambiae	Delta	1.0	60	dead	WGS_PL1
38	VBS19104-5563STDY7800188	WA-0054	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	1.0	60	dead	WGS_PL1
39	VBS19105-5563STDY7800189	WA-0055	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	1.0	60	dead	WGS_PL1
40	VBS19106-5563STDY7800190	WA-0056	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.043	gambiae	Delta	1.0	60	dead	WGS_PL1
41	VBS19107-5563STDY7800191	WA-0057	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.032	gambiae	Delta	1.0	60	dead	WGS_PL1
42	VBS19110-5563STDY7800194	WA-0060	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.026	gambiae	Delta	1.0	60	dead	WGS_PL1
43	VBS19111-5563STDY7800195	WA-0061	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.037	gambiae	Delta	1.0	60	dead	WGS_PL1
44	VBS19112-5563STDY7800196	WA-0062	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.02	gambiae	Delta	1.0	60	dead	WGS_PL1
45	VBS19114-5563STDY7800198	WA-0064	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.017	gambiae	Delta	1.0	60	dead	WGS_PL1
